Conductivity,Seebeck
190161.4134,112.4998209
237541.6618,106.6081743
285419.3657,81.71051352
320834.7301,80.57016265
341282.3102,64.03490865
409209.6117,49.73684211
452005.5022,46.92964549
502375.6739,41.79823282
